Dataset name: LMR Seasonal
Dataset details: lmr_seasonal v.1_0_0 tas djf
Method(s): ['LMR_seasonal']
Lat/lon or region: 31 degN -90 degE
---
Original source URL: https://atmos.uw.edu/~zilumeng/LMR_Seasonal/index.html
New reference period: 0-1 ka
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: temperature (degrees Celsius)
---
Year (CE),LMR_seasonal mean (degrees Celsius)
1135.00,0.36
1136.00,0.32
1137.00,0.45
1138.00,0.45
1139.00,0.35
1140.00,0.81
1141.00,0.59
1142.00,0.49
1143.00,0.24
1144.00,-0.20
1145.00,-0.24
1146.00,0.02
1147.00,0.55
1148.00,0.38
1149.00,0.82
1150.00,0.53
1151.00,0.62
1152.00,-0.23
1153.00,0.33
1154.00,0.61
1155.00,0.87
1156.00,0.53
1157.00,0.75
1158.00,0.77
1159.00,0.03
1160.00,0.59
1161.00,0.79
1162.00,0.27
1163.00,0.62
1164.00,0.30
1165.00,0.19
1166.00,0.53
1167.00,0.26
1168.00,-0.07
1169.00,0.58
1170.00,0.26
1171.00,0.53
1172.00,0.33
1173.00,0.88
1174.00,0.60
1175.00,0.66
1176.00,0.40
1177.00,0.26
1178.00,0.16
1179.00,0.00
1180.00,0.12
1181.00,-0.13
1182.00,0.13
1183.00,0.24
1184.00,0.66
1185.00,0.79
1186.00,0.59
1187.00,0.19
1188.00,0.60
1189.00,0.31
1190.00,0.30
1191.00,0.13
1192.00,0.38
1193.00,0.07
1194.00,0.17
1195.00,0.24
1196.00,0.13
1197.00,-0.06
1198.00,0.27
1199.00,0.22
1200.00,-0.21
1201.00,-0.31
1202.00,-0.31
1203.00,0.32
1204.00,0.36
1205.00,0.51
1206.00,0.24
1207.00,-0.05
1208.00,-0.09
1209.00,0.42
1210.00,0.59
1211.00,0.44
1212.00,0.50
1213.00,0.12
1214.00,0.67
1215.00,0.34
1216.00,0.17
1217.00,0.03
1218.00,-0.29
1219.00,0.26
1220.00,-0.12
1221.00,0.20
1222.00,0.34
1223.00,0.32
1224.00,-0.41
1225.00,-0.06
1226.00,-0.18
1227.00,0.69
1228.00,0.23
1229.00,-0.05
1230.00,0.52
1231.00,-0.12
1232.00,-0.12
1233.00,0.45
1234.00,0.32
1235.00,0.16
1236.00,-0.04
1237.00,0.38
1238.00,0.07
1239.00,0.05
1240.00,0.42
1241.00,0.61
1242.00,0.17
1243.00,0.66
1244.00,0.55
1245.00,0.96
1246.00,0.72
1247.00,0.49
1248.00,0.24
1249.00,0.55
1250.00,0.61
1251.00,0.46
1252.00,0.50
1253.00,0.58
1254.00,0.24
1255.00,-0.33
1256.00,-0.17
1257.00,-0.08
1258.00,-0.16
1259.00,-0.01
1260.00,0.20
1261.00,0.23
1262.00,0.17
1263.00,0.08
1264.00,0.07
1265.00,-0.11
1266.00,-0.01
1267.00,0.07
1268.00,0.27
1269.00,-0.16
1270.00,0.11
1271.00,-0.04
1272.00,0.35
1273.00,-0.06
1274.00,0.22
1275.00,0.01
1276.00,-0.38
1277.00,0.39
1278.00,0.30
1279.00,-0.01
1280.00,0.14
1281.00,-0.24
1282.00,-0.05
1283.00,0.15
1284.00,-0.37
1285.00,-0.27
1286.00,-0.16
1287.00,0.10
1288.00,0.25
1289.00,-0.13
1290.00,-0.23
1291.00,-0.42
1292.00,0.04
1293.00,-0.19
1294.00,-0.52
1295.00,-0.70
1296.00,0.22
1297.00,0.05
1298.00,-0.08
1299.00,-0.48
1300.00,-0.15
1301.00,-0.49
1302.00,0.08
1303.00,-0.03
1304.00,-0.09
1305.00,-0.14
1306.00,-0.29
1307.00,-0.38
1308.00,-0.24
1309.00,-0.10
1310.00,0.04
1311.00,-0.42
1312.00,0.46
1313.00,0.03
1314.00,0.28
1315.00,0.11
1316.00,-0.06
1317.00,-0.46
1318.00,-0.45
1319.00,-0.82
1320.00,-0.39
1321.00,0.05
1322.00,-0.02
1323.00,-0.35
1324.00,-0.31
1325.00,-0.37
1326.00,-0.64
1327.00,-0.44
1328.00,-0.28
1329.00,-0.47
1330.00,0.14
1331.00,-0.55
1332.00,-0.54
1333.00,-0.26
1334.00,-0.51
1335.00,-0.30
1336.00,0.39
1337.00,-0.54
1338.00,0.02
1339.00,-0.13
1340.00,0.13
1341.00,0.35
1342.00,0.40
1343.00,0.01
1344.00,-0.03
1345.00,0.38
1346.00,0.23
1347.00,0.35
1348.00,0.12
1349.00,-0.56
1350.00,0.26
1351.00,-0.62
1352.00,-0.39
1353.00,-0.07
1354.00,0.25
1355.00,0.11
1356.00,-0.20
1357.00,0.53
1358.00,-0.06
1359.00,0.30
1360.00,0.15
1361.00,0.24
1362.00,0.14
1363.00,0.54
1364.00,0.20
1365.00,0.11
1366.00,-0.02
1367.00,-0.09
1368.00,-0.16
1369.00,-0.01
1370.00,-0.22
1371.00,0.01
1372.00,-0.22
1373.00,0.00
1374.00,0.00
1375.00,0.24
1376.00,0.01
1377.00,0.54
1378.00,0.21
1379.00,-0.01
1380.00,-0.55
1381.00,-0.96
1382.00,-0.44
1383.00,-0.35
1384.00,-0.12
1385.00,-0.96
1386.00,-0.64
1387.00,-0.50
1388.00,0.42
1389.00,0.18
1390.00,0.06
1391.00,-0.27
1392.00,-0.50
1393.00,-0.10
1394.00,0.33
1395.00,0.61
1396.00,0.52
1397.00,0.31
1398.00,0.43
1399.00,0.47
1400.00,0.08
1401.00,-0.47
1402.00,-0.00
1403.00,-0.01
1404.00,0.42
1405.00,0.39
1406.00,-0.26
1407.00,0.66
1408.00,0.47
1409.00,0.49
1410.00,0.19
