Dataset name: LMR
Dataset details: lmr v.2_1_0 tas annual
Method(s): ['LMR']
Lat/lon or region: 30.0 degN -90.0 degE
---
Original source URL: https://www.ncei.noaa.gov/access/paleo-search/study/27850
New reference period: 0-1 ka
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: temperature (degrees Celsius)
---
Year (CE),LMR mean (degrees Celsius)
1481.00,0.01
1482.00,-0.06
1483.00,-0.15
1484.00,-0.16
1485.00,-0.01
1486.00,0.11
1487.00,0.21
1488.00,0.01
1489.00,0.14
1490.00,-0.10
1491.00,-0.05
1492.00,-0.10
1493.00,-0.05
1494.00,-0.01
1495.00,0.40
1496.00,0.05
1497.00,0.20
1498.00,-0.08
1499.00,0.07
1500.00,0.04
1501.00,0.09
1502.00,0.16
1503.00,0.21
1504.00,0.19
1505.00,0.12
1506.00,0.17
1507.00,0.16
1508.00,0.20
1509.00,0.26
1510.00,0.37
1511.00,0.27
1512.00,0.40
1513.00,0.30
1514.00,-0.02
1515.00,0.32
1516.00,0.26
1517.00,0.24
1518.00,0.04
1519.00,0.04
1520.00,-0.08
1521.00,-0.25
1522.00,0.10
1523.00,-0.12
1524.00,0.10
1525.00,0.28
1526.00,-0.09
1527.00,0.25
1528.00,0.20
1529.00,0.19
1530.00,0.31
1531.00,0.13
1532.00,0.24
1533.00,0.00
1534.00,-0.02
1535.00,0.30
1536.00,-0.15
1537.00,0.25
1538.00,-0.14
1539.00,0.09
1540.00,-0.13
1541.00,-0.26
1542.00,-0.33
1543.00,-0.39
1544.00,-0.37
1545.00,-0.18
1546.00,-0.05
1547.00,-0.21
1548.00,-0.01
1549.00,-0.24
1550.00,0.10
1551.00,-0.17
1552.00,-0.06
1553.00,0.07
1554.00,0.03
1555.00,-0.02
1556.00,-0.05
1557.00,0.03
1558.00,0.14
1559.00,0.08
1560.00,0.22
1561.00,0.25
1562.00,0.14
1563.00,-0.03
1564.00,-0.02
1565.00,0.06
1566.00,0.06
1567.00,0.08
1568.00,0.15
1569.00,0.04
1570.00,0.15
1571.00,0.07
1572.00,-0.04
1573.00,0.19
1574.00,-0.02
1575.00,0.02
1576.00,0.09
1577.00,-0.07
1578.00,-0.35
1579.00,0.06
1580.00,-0.43
1581.00,-0.52
1582.00,-0.25
1583.00,-0.26
1584.00,-0.30
1585.00,-0.34
1586.00,-0.02
1587.00,-0.20
1588.00,-0.18
1589.00,0.08
1590.00,-0.02
1591.00,-0.30
1592.00,-0.14
1593.00,-0.40
1594.00,-0.24
1595.00,-0.09
1596.00,-0.18
1597.00,0.12
1598.00,-0.15
1599.00,-0.27
1600.00,-0.17
1601.00,-0.44
1602.00,-0.16
1603.00,0.03
1604.00,-0.07
1605.00,-0.16
1606.00,-0.15
1607.00,-0.28
1608.00,-0.17
1609.00,-0.30
1610.00,-0.41
1611.00,-0.26
1612.00,-0.01
1613.00,-0.14
1614.00,0.27
1615.00,-0.20
1616.00,-0.06
1617.00,-0.04
1618.00,-0.29
1619.00,-0.21
1620.00,-0.20
1621.00,-0.18
1622.00,-0.14
1623.00,-0.05
1624.00,-0.16
1625.00,-0.10
1626.00,-0.22
1627.00,-0.29
1628.00,-0.20
1629.00,-0.16
1630.00,-0.32
1631.00,-0.06
1632.00,0.17
1633.00,-0.25
1634.00,-0.29
1635.00,-0.39
1636.00,0.03
1637.00,0.15
1638.00,-0.13
1639.00,-0.09
1640.00,0.05
1641.00,-0.41
1642.00,-0.64
1643.00,-0.33
1644.00,-0.39
1645.00,-0.52
1646.00,-0.45
1647.00,-0.42
1648.00,-0.31
1649.00,-0.01
1650.00,-0.07
1651.00,-0.24
1652.00,-0.30
1653.00,-0.14
1654.00,-0.10
1655.00,0.04
1656.00,0.03
1657.00,-0.06
1658.00,-0.21
1659.00,0.13
1660.00,-0.05
1661.00,0.18
1662.00,0.00
1663.00,-0.13
1664.00,0.14
1665.00,-0.15
1666.00,-0.29
1667.00,-0.35
1668.00,-0.14
1669.00,-0.31
1670.00,-0.42
1671.00,-0.24
1672.00,-0.23
1673.00,-0.55
1674.00,-0.46
1675.00,-0.39
1676.00,-0.07
1677.00,-0.38
1678.00,-0.15
1679.00,-0.10
1680.00,-0.12
1681.00,-0.46
1682.00,-0.32
1683.00,-0.27
1684.00,-0.25
1685.00,-0.38
1686.00,-0.21
1687.00,-0.29
1688.00,-0.35
1689.00,0.20
1690.00,0.04
1691.00,0.05
1692.00,-0.11
1693.00,-0.15
1694.00,-0.42
1695.00,-0.61
1696.00,0.14
1697.00,-0.02
1698.00,-0.20
1699.00,-0.19
1700.00,-0.25
1701.00,-0.13
1702.00,-0.37
1703.00,-0.27
1704.00,-0.26
1705.00,-0.45
1706.00,-0.25
1707.00,-0.09
1708.00,-0.16
1709.00,-0.17
1710.00,-0.20
1711.00,-0.13
1712.00,-0.19
1713.00,-0.17
1714.00,-0.50
1715.00,0.01
1716.00,-0.16
1717.00,0.16
1718.00,-0.11
1719.00,-0.29
1720.00,-0.11
1721.00,-0.29
1722.00,-0.02
1723.00,-0.36
1724.00,0.22
1725.00,-0.01
1726.00,0.05
1727.00,0.05
1728.00,0.12
1729.00,-0.03
1730.00,-0.06
1731.00,-0.05
1732.00,-0.16
1733.00,-0.19
1734.00,0.13
1735.00,-0.08
1736.00,-0.47
1737.00,-0.21
1738.00,-0.23
1739.00,-0.10
1740.00,-0.57
1741.00,-0.02
1742.00,0.23
1743.00,0.25
1744.00,0.29
1745.00,0.17
1746.00,-0.21
1747.00,0.13
1748.00,-0.05
1749.00,0.07
1750.00,0.03
1751.00,-0.17
1752.00,0.23
1753.00,0.14
1754.00,0.53
1755.00,0.07
1756.00,0.45
1757.00,0.12
1758.00,0.01
1759.00,-0.04
1760.00,-0.08
1761.00,-0.47
1762.00,-0.06
1763.00,-0.19
1764.00,-0.17
1765.00,-0.24
1766.00,-0.34
1767.00,0.17
1768.00,-0.09
1769.00,0.27
1770.00,0.00
1771.00,0.02
1772.00,0.08
1773.00,0.42
1774.00,0.15
1775.00,0.20
1776.00,-0.23
1777.00,0.02
1778.00,0.25
1779.00,-0.12
1780.00,0.03
1781.00,0.21
1782.00,-0.11
1783.00,-0.08
1784.00,-0.19
1785.00,0.03
1786.00,-0.06
1787.00,0.09
1788.00,-0.01
1789.00,-0.12
1790.00,-0.08
1791.00,-0.26
1792.00,-0.17
1793.00,-0.42
1794.00,0.01
1795.00,-0.02
1796.00,0.03
1797.00,0.22
1798.00,0.36
1799.00,0.04
1800.00,-0.13
1801.00,0.39
1802.00,0.06
1803.00,0.05
1804.00,-0.17
1805.00,-0.41
1806.00,0.20
1807.00,0.01
1808.00,-0.07
1809.00,-0.06
1810.00,0.00
1811.00,0.01
1812.00,-0.15
1813.00,-0.08
1814.00,-0.30
1815.00,-0.20
1816.00,-0.75
1817.00,-0.41
1818.00,-0.71
1819.00,-0.25
1820.00,-0.04
1821.00,-0.01
1822.00,-0.26
1823.00,0.02
1824.00,-0.14
1825.00,-0.31
1826.00,-0.14
1827.00,-0.06
1828.00,-0.32
1829.00,-0.29
1830.00,0.04
1831.00,-0.52
1832.00,-0.52
1833.00,-0.46
1834.00,-0.05
1835.00,-0.47
1836.00,-0.60
1837.00,-0.48
1838.00,-0.41
1839.00,-0.34
1840.00,-0.28
1841.00,0.03
1842.00,-0.10
1843.00,-0.13
1844.00,-0.04
1845.00,-0.44
1846.00,-0.10
1847.00,-0.51
1848.00,-0.20
1849.00,-0.25
1850.00,-0.05
1851.00,-0.23
1852.00,-0.16
1853.00,-0.11
1854.00,-0.07
1855.00,-0.23
1856.00,0.05
1857.00,-0.43
1858.00,-0.14
1859.00,0.41
1860.00,-0.18
1861.00,0.11
1862.00,0.23
1863.00,0.03
1864.00,-0.26
1865.00,0.20
1866.00,-0.38
1867.00,-0.03
1868.00,-0.20
1869.00,-0.09
1870.00,0.05
1871.00,0.05
1872.00,-0.22
1873.00,0.03
1874.00,0.25
1875.00,0.16
1876.00,0.33
1877.00,0.13
1878.00,0.29
1879.00,0.23
1880.00,0.51
1881.00,0.42
1882.00,0.19
1883.00,0.06
1884.00,-0.30
1885.00,-0.30
1886.00,0.33
1887.00,0.22
1888.00,-0.07
1889.00,-0.04
1890.00,0.12
1891.00,-0.04
1892.00,-0.17
1893.00,0.19
1894.00,0.05
1895.00,0.05
1896.00,0.06
1897.00,0.23
1898.00,0.23
1899.00,-0.00
1900.00,-0.18
1901.00,-0.14
1902.00,-0.36
1903.00,-0.18
1904.00,-0.33
1905.00,-0.51
1906.00,-0.63
1907.00,-0.17
1908.00,-0.24
1909.00,0.04
1910.00,-0.05
1911.00,-0.13
1912.00,-0.29
1913.00,-0.19
1914.00,-0.36
1915.00,-0.54
1916.00,-0.08
1917.00,-0.15
1918.00,0.04
1919.00,-0.01
1920.00,-0.15
1921.00,0.14
1922.00,0.27
1923.00,-0.15
1924.00,-0.40
1925.00,-0.27
1926.00,-0.33
1927.00,0.10
1928.00,0.16
1929.00,0.04
1930.00,-0.16
1931.00,-0.02
1932.00,0.35
1933.00,0.35
1934.00,0.01
1935.00,-0.04
1936.00,0.27
1937.00,0.47
1938.00,0.18
1939.00,-0.01
1940.00,-0.07
1941.00,-0.19
1942.00,0.08
1943.00,0.19
1944.00,0.06
1945.00,0.14
1946.00,0.23
1947.00,0.15
1948.00,0.55
1949.00,0.26
1950.00,0.49
1951.00,0.35
1952.00,0.35
1953.00,0.51
1954.00,0.69
1955.00,0.63
1956.00,0.34
1957.00,0.15
1958.00,0.38
1959.00,0.66
1960.00,0.49
1961.00,0.48
1962.00,0.46
1963.00,0.39
1964.00,0.15
1965.00,-0.35
1966.00,-0.05
1967.00,0.08
1968.00,-0.24
1969.00,0.36
1970.00,0.24
1971.00,0.42
1972.00,0.15
1973.00,0.40
1974.00,0.56
1975.00,0.39
1976.00,0.04
1977.00,0.14
1978.00,0.12
1979.00,0.05
1980.00,0.16
1981.00,0.11
1982.00,0.37
1983.00,0.47
1984.00,0.08
1985.00,0.37
1986.00,0.35
1987.00,0.20
1988.00,0.48
1989.00,0.48
1990.00,0.22
1991.00,0.32
1992.00,0.10
1993.00,0.32
1994.00,0.54
1995.00,0.43
1996.00,0.37
1997.00,0.35
1998.00,0.33
1999.00,0.55
2000.00,0.52
