Dataset name: LMR
Dataset details: lmr v.2_1_0 tas annual
Method(s): ['LMR']
Lat/lon or region: 30.0 degN -90.0 degE
---
Original source URL: https://www.ncei.noaa.gov/access/paleo-search/study/27850
New reference period: 0-1 ka
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: temperature (degrees Celsius)
---
Year (CE),LMR mean (degrees Celsius)
368.00,-0.05
369.00,-0.11
370.00,-0.06
371.00,-0.07
372.00,-0.02
373.00,-0.07
374.00,-0.13
375.00,-0.02
376.00,-0.10
377.00,-0.02
378.00,-0.07
379.00,-0.09
380.00,-0.06
381.00,-0.03
382.00,0.01
383.00,0.05
384.00,-0.06
385.00,-0.06
386.00,0.04
387.00,-0.01
388.00,-0.03
389.00,-0.07
390.00,-0.08
391.00,-0.05
392.00,-0.08
393.00,-0.05
394.00,-0.07
395.00,-0.08
396.00,-0.08
397.00,-0.06
398.00,0.06
399.00,-0.00
400.00,-0.05
401.00,0.04
402.00,0.02
403.00,0.02
404.00,0.06
405.00,0.03
406.00,0.21
407.00,0.18
408.00,0.19
409.00,0.12
410.00,0.04
411.00,-0.01
412.00,0.07
413.00,0.02
414.00,-0.04
415.00,0.02
416.00,0.02
417.00,-0.00
418.00,0.07
419.00,0.14
420.00,0.13
421.00,0.07
422.00,0.04
423.00,0.02
424.00,0.15
425.00,0.09
426.00,-0.04
427.00,0.02
428.00,0.07
429.00,0.09
430.00,0.14
431.00,0.09
432.00,0.08
433.00,0.24
434.00,0.15
435.00,0.08
436.00,0.08
437.00,0.14
438.00,0.12
439.00,0.12
440.00,0.07
441.00,0.05
442.00,0.12
443.00,0.05
444.00,0.13
445.00,0.04
446.00,0.10
447.00,0.14
448.00,0.06
449.00,0.01
450.00,0.12
451.00,0.01
452.00,-0.02
453.00,0.15
454.00,0.06
455.00,0.08
456.00,0.12
457.00,0.07
458.00,0.05
459.00,0.07
460.00,-0.01
461.00,0.02
462.00,0.06
463.00,0.02
464.00,-0.02
465.00,-0.00
466.00,0.05
467.00,-0.02
468.00,-0.01
469.00,0.04
470.00,0.01
471.00,-0.02
472.00,0.00
473.00,-0.08
474.00,-0.01
475.00,-0.05
476.00,-0.08
477.00,0.01
478.00,-0.03
479.00,0.04
480.00,0.08
481.00,0.02
482.00,-0.02
483.00,-0.05
484.00,-0.07
485.00,0.10
486.00,-0.00
487.00,0.00
488.00,-0.01
489.00,0.06
490.00,-0.03
491.00,0.04
492.00,-0.02
493.00,0.03
494.00,0.09
495.00,-0.05
496.00,0.01
497.00,0.00
498.00,0.02
499.00,-0.00
500.00,-0.02
501.00,0.09
502.00,0.03
503.00,0.09
504.00,0.05
505.00,0.14
506.00,0.09
507.00,0.03
508.00,0.06
509.00,0.05
510.00,0.10
511.00,0.06
512.00,-0.04
513.00,-0.00
514.00,-0.03
515.00,-0.04
516.00,-0.04
517.00,-0.04
518.00,-0.00
519.00,-0.03
520.00,-0.06
521.00,-0.02
522.00,-0.06
523.00,-0.05
524.00,-0.03
525.00,0.13
526.00,0.01
527.00,-0.02
528.00,-0.10
529.00,-0.00
530.00,-0.01
531.00,-0.20
532.00,-0.01
533.00,-0.03
534.00,0.05
535.00,-0.07
536.00,-0.21
537.00,-0.17
538.00,-0.17
539.00,-0.20
540.00,-0.16
541.00,-0.19
542.00,-0.30
